"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.57,0.233,-3.03,-2.12,0.168,0.123,0.231,9.25e-17,2.49e-13,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-2.2,0.209,-2.61,-1.79,0.218,0.164,0.29,7.74e-16,1.04e-12,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",-3.1,0.349,-3.78,-2.41,0.117,0.0728,0.188,6.21e-13,5.58e-10,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",-3.87,0.446,-4.75,-3,0.0682,0.0372,0.125,1.43e-12,9.63e-10,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",-1.86,0.221,-2.29,-1.43,0.275,0.204,0.372,4.38e-12,2.36e-09,"lm.nb","NM_005627.3:1621"
"DUSP1-mRNA",-3.25,0.396,-4.02,-2.47,0.105,0.0616,0.18,1.04e-11,4.52e-09,"lm.nb","NM_004417.3:1428"
"WDR76-mRNA",1.83,0.224,1.39,2.27,3.55,2.62,4.81,1.17e-11,4.52e-09,"lm.nb","NM_024908.3:1875"
"HLA-DRA-mRNA",-3.55,0.477,-4.48,-2.61,0.0855,0.0447,0.164,2.51e-10,8.4e-08,"lm.nb","NM_019111.3:335"
"C1QB-mRNA",-3.33,0.452,-4.22,-2.45,0.0994,0.0538,0.184,3.23e-10,8.4e-08,"lm.nb","NM_000491.3:816"
"IRF1-mRNA",-2.18,0.296,-2.76,-1.6,0.221,0.148,0.33,3.31e-10,8.4e-08,"lm.nb","NM_002198.2:557"
"KIR3DL1-mRNA",3.24,0.44,2.37,4.1,9.43,5.19,17.1,3.43e-10,8.4e-08,"lm.nb","NM_001322168.1:466"
"GBP1-mRNA",-4.06,0.575,-5.19,-2.94,0.0598,0.0274,0.131,1.16e-09,2.61e-07,"lm.nb","NM_002053.2:1838"
"HLA-DPA1-mRNA",-3.48,0.509,-4.48,-2.48,0.0897,0.0449,0.179,3.03e-09,6.28e-07,"lm.nb","NM_033554.2:857"
"GBP2-mRNA",-2.42,0.356,-3.12,-1.72,0.187,0.115,0.303,3.5e-09,6.73e-07,"lm.nb","NM_004120.4:1744"
"CDKN1C-mRNA",-2.6,0.397,-3.38,-1.82,0.165,0.0961,0.282,9.15e-09,1.61e-06,"lm.nb","NM_000076.2:1605"
"HLA-DPB1-mRNA",-2.76,0.422,-3.59,-1.94,0.147,0.0829,0.261,9.56e-09,1.61e-06,"lm.nb","NM_002121.5:987"
"IFITM1-mRNA",-2.49,0.392,-3.25,-1.72,0.179,0.105,0.304,2.2e-08,3.49e-06,"lm.nb","NM_003641.3:536"
"KIR2DL3-mRNA",2.54,0.408,1.74,3.34,5.81,3.34,10.1,3.6e-08,5.39e-06,"lm.nb","NM_015868.2:145"
"MAP3K8-mRNA",-1.82,0.295,-2.4,-1.25,0.282,0.189,0.422,4.37e-08,6.2e-06,"lm.nb","NM_001244134.1:493"
"HLA-C-mRNA",-1.53,0.255,-2.03,-1.03,0.345,0.244,0.488,8.1e-08,1.09e-05,"lm.nb","NM_002117.4:898"
"VEGFA-mRNA",-1.58,0.265,-2.1,-1.06,0.335,0.233,0.48,1.07e-07,1.37e-05,"lm.nb","NM_001171623.1:2212"
"CEBPB-mRNA",-1.2,0.203,-1.6,-0.801,0.435,0.33,0.574,1.32e-07,1.62e-05,"lm.nb","NM_005194.3:1731"
"HLA-F-mRNA",-2.12,0.378,-2.86,-1.38,0.23,0.138,0.385,4.26e-07,4.99e-05,"lm.nb","NM_001098479.1:285"
"HES1-mRNA",-1.67,0.302,-2.26,-1.08,0.314,0.209,0.474,5.58e-07,6.26e-05,"lm.nb","NM_005524.2:860"
"NFIL3-mRNA",-1.85,0.337,-2.51,-1.19,0.278,0.176,0.439,6.72e-07,7.25e-05,"lm.nb","NM_001289999.1:1466"
"HLA-B-mRNA",-2.06,0.38,-2.81,-1.32,0.239,0.143,0.401,8.51e-07,8.83e-05,"lm.nb","NM_005514.6:1247"
"FLT1-mRNA",-2.88,0.538,-3.93,-1.82,0.136,0.0654,0.282,1.14e-06,0.000114,"lm.nb","NM_002019.4:530"
"ULBP2-mRNA",1.51,0.286,0.945,2.07,2.84,1.92,4.19,1.64e-06,0.000158,"lm.nb","NM_025217.2:905"
"MS4A1-mRNA",1.76,0.337,1.1,2.42,3.39,2.15,5.37,1.86e-06,0.000173,"lm.nb","NM_021950.3:161"
"TMEM173-mRNA",-1.52,0.296,-2.1,-0.937,0.349,0.234,0.522,2.74e-06,0.000241,"lm.nb","NM_198282.1:725"
